Llave,Valor,Image Name
Administración,"<b> La diabetes tipo 1 </b>
Muy poco común en las comunidades, pero tienen un bajo umbral para comprobar el azúcar en sangre en los niños enfermos ingresados, los niños con desnutrición, retraso en el desarrollo o infecciones recurrentes. Tenemos algunos pacientes diabéticos tipo 2 con dependencia a la insulina; estos pacientes son muy difíciles de manejar en un entorno remoto.

Los niños con diabetes deben ser gestionados por un especialista del hospital.

<b> Diabetes Mellitus tipo 2 </b>
Primera linea:
La metformina 1xday 500 mg, de 1 semana. *
A continuación, aumentar a 1000 mg 1 vez / día.

Si no se controla la próxima clínica:
Aumenta a 1000 mg 2 veces / día.

Si no se controla la próxima clínica:
Aumenta a 850 mg 3 veces / día. (2,5 g dosis máximo por día).

* <I> disminuye la frecuencia del lado de los pacientes experimentan efectos. Si los pacientes experimentan una gran cantidad de diarrea, etc. en la primera semana de tratamiento, que son diferentes a continuar con el tratamiento. Dar al momento de la comida más grande. </ I>

<I> La metformina no causa hipoglucemia, pero Glibenclamida puedo. </ I>
        
Segunda linea:*
Glibenclamida 5 mg 1 vez / día. **
Aumentar en un 5 cada 3 meses.
Max. 1x 15 mg / día.

(Puede causar hipoglucemia muy refractaria que requiere hospitalización, así aspirar a azúcar en la sangre más altos cuando en esto).

* Sólo si el control no es bueno con la dosis máxima de metformina o metformina no se tolera.

** Glibenclamida puede causar hipoglucemia muy refractaria que requiere hospitalización, por lo que debe aspirar a altos niveles de azúcar cuando un paciente está tomando esto. Debe <b> SIEMPRE </b> tomarse con alimentos y utilizarse con precaución en la enfermedad ancianos y renal. <b> El paciente debe omitir esta medicina si no está comiendo o menos de lo habitual encarecidamente </b>. Consejo sobre la conciencia y la gestión de la hipoglucemia. Si los pacientes experimentan una hipoglucemia deben dejar de glibenclamida y ir al hospital para un chequeo.
",
Complicaciones,"Las complicaciones pueden ser categorizados como macro y microvascular. Las complicaciones ocurren en múltiples sistemas de órganos, como se detalla a continuación.

<b> Cardiovascular </b>
-Angina, ataques al corazón.
-TIAs, accidentes cerebrovasculares isquémicos.
-Enfermedad arterial periférica.

<b> Renal </b>
-Nefropatía diabética.

<b> General </b>
-Infecciones (en particular de la piel).
-no heridas cicatrizan.
Las úlceras -Chronic.

<b> Ophthalmic </b>
-Cataracts.
-Retinopatía diabética.

<b> Neurological </b>
neuropatía -Peripheral (sensorial / motor).
-Dolor neuropático.
-Autonomic neuropatía.

<I> Para obtener información sobre hipoglucemia, hiperglucémicos Estado hiperosmótico (HHS) y cetoacidosis diabética (CAD) consulte las siguientes secciones. </ I>

[4, 5, 6, 7, 8]",
Referencias,"[1]
1] Diabetes Mellitus. Información sobre la Diabetes Mellitus (DM). Paciente. Disponible en: https://patient.info/doctor/diabetes-mellitus-pro. (Consultado: el 22 de de septiembre de 2017)
[2] Diabetes Mellitus. Información sobre la Diabetes Mellitus (DM). Paciente. Disponible en: https://patient.info/doctor/diabetes-mellitus-pro. (Consultado: el 22 de de septiembre de 2017)
[3] Diabetes Mellitus. Información sobre la Diabetes Mellitus (DM). Paciente. Disponible en: https://patient.info/doctor/diabetes-mellitus-pro. (Consultado: el 22 de de septiembre de 2017)
[4] Sitio Web. Disponible en: http://cks.nice.org.uk/diabetes-type-2. (Consultado: el 22 de de septiembre de 2017)
[5] la cetoacidosis diabética. Información sobre la CAD. Paciente. Disponible en: https://patient.info/doctor/diabetic-ketoacidosis. (Consultado: el 22 de de septiembre de 2017)
[6] regímenes de insulina. La elaboración de insulina adecuada. Disponible en: https://patient.info/doctor/Insulin-Regimens. (Consultado: el 22 de de septiembre de 2017)
[7] La ​​gestión de la diabetes tipo 2. Los diabéticos tipo 2. Disponible en: https://patient.info/doctor/management-of-type-2-diabetes. (Consultado: el 22 de de septiembre de 2017)
[8] Gestión de emergencias de la información hipoglucemia. Paciente. Disponible en: https://patient.info/doctor/emergency-management-of-hypoglycaemia. (Consultado: el 22 de de septiembre de 2017).
[9] Sitio Web. Disponible en: http://www.diabetes.org.uk/Documents/About%20Us/Our%20views/Care%20recs/JBDS%20hypoglycaemia%20position%20(2013).pdf. (Consultado: el 22 de de septiembre de 2017)
[10] Diabetes Mellitus. Información sobre la Diabetes Mellitus (DM). Paciente. Disponible en: https://patient.info/doctor/diabetes-mellitus-pro. (Consultado: el 22 de de septiembre de 2017)
",
$Orejas,,
9.1 Aguda Otitis Externa,,
Presentación,"El prurito y dolor a menudo exacerbados por el movimiento del pabellón auricular. Descarga puede ser clara, purulenta o ausente.",
Causas,La inflamación del conducto auditivo externo debido a una infección bacteriana o micótica. Puede ser precipitada por trauma o cuerpo extraño.,
Evaluación,"Tome historia cuidadosa y examinar con otoscopio (inspeccionar: enrojecimiento, hinchazón, sangre, pus, burbujas de aire, el líquido en el oído medio, la perforación del tímpano).

Es un diagnóstico clínico.",
Administración,"tratar la fiebre y el dolor, según corresponda.

El tratamiento local durante 7 días mecha oído con tejido seco (mostrar padre / técnica de paciente).

La ofloxacina 0,3% (si la infección bacteriana sospecha - descarga purulenta).

Aplicar cada 2-4 horas durante los primeros 2 días, a continuación, reducir a 4 veces al día hasta mejor: máximo 10 días de tratamiento.

Evitar nadar.",
Complicaciones,"Las complicaciones pueden ser graves.

Las señales de advertencia son:
Completar estenosis aguda del conducto auditivo externo; no puede insertar un espéculo para nada, celulitis del pabellón auricular o área preauricular, parálisis del nervio craneal ipsolateral, ipsilateral dolor severo en la cabeza.

Admitir pacientes donde se tiene la sospecha clínica de la otitis externa necrotizante (NOE), colección de absceso o pabellón auricular / celulitis facial.",
9.2 La Otitis Media Aguda,,
Presentación,"Típicamente se presenta con rápida aparición de dolor de oído, descarga y / o fiebre.

Con los niños pueden presentar síntomas atípicos como dolor abdominal, vómitos, diarrea, disminución de la ingesta.",
Causas,"Común en niños menores de 3 años.

La inflamación aguda del oído medio causada por la infección viral / bacteriana.",
Evaluación,"Tomar la historia completa, incluyendo la pregunta acerca de episodios anteriores.

Investigar con otoscopio (inspeccionar: enrojecimiento, hinchazón, sangre, pus, burbujas de aire, el líquido en el oído medio, la perforación del tímpano).

Es un diagnóstico clínico.",
Administración,"Los antibióticos recomendados para todos los niños menores de 2 años, infección grave, o pacientes con factores de riesgo (la desnutrición / malformación).

1ª línea:
La amoxicilina durante 5 días.
1-4 años 250 mg 3 veces / día.
5-11 años 500 mg 3 veces / día (máx. Por dosis 1 g).

<I> Revisión a Viernes seguimiento. </ I>
        
2ª línea:
Azitromicina 10 mg / kg1x / día.
Si no responde al tratamiento o derivar para tratamiento en el hospital si el paciente está deteriorando.

",
Complicaciones,"Factores de riesgo de complicaciones tales como meningitis y mastoiditis:

-Age menores de 6 meses.

variaciones -Anatomical en área ENT (tales como con el Síndrome de Down o paladar hendido).
    
operaciones de oído -Anterior.
    
-Immunocompromised / desnutridos.

En caso de un consejo perforación del tímpano para volver a comprobar el oído después de 2 semanas para ver si un niño puede ir a nadar de nuevo. Si la perforación todavía no está cerrado después de 6 semanas referirse al especialista.",
9.3 Otitis Media Supurativa Crónica,,
Presentación,infección bacteriana crónica de la cavidad del oído y mastoides medio con descarga purulenta persistente a través de una membrana timpánica perforada por al menos 6 semanas. Los síntomas persisten por la pérdida de audición más de 2 semanas +/-.,
Causas,otitis media supurativa crónica se produce después de una infección del tracto respiratorio superior que ha llevado a la otitis media aguda.,
Evaluación,"Una historia completa. Inspeccionar con otoscopio. Examine para la mastoiditis y meningitis.

infecciones recurrentes del oído con descarga y perforación vistos en el examen.",
Administración,"Primera linea:
La ofloxacina 0,3% gotas.
Aplicar cada 2-4 horas durante los primeros 2 días, a continuación, reducir a 4 veces al día hasta mejor: máximo 10 días de tratamiento.

Los antibióticos tópicos funcionan mejor que los antibióticos orales.

Evitar nadar.
",
Complicaciones,"Las principales complicaciones son la mastoiditis, fístula retroauricular, parálisis facial, meningitis.",
9.4 Cuerpo Extraño Y Cera,,
Presentación,"La cera de oído actúa como un agente para proteger el oído, por ejemplo, de insectos - debido a la composición natural amargo de la cera, y para ayudar a eliminar las pequeñas partículas extrañas tales como polvo.

Las orejas son de forma natural de auto-limpieza, pero en ocasiones el cerumen pueden necesitar la intervención para extraerlo.

Esto puede ocurrir si hay impactación de cera o si hay un cuerpo extraño en el canal auditivo.",
Causas,"En el caso de impactación de cera, los síntomas pueden incluir problemas de audición, picazón, molestias y tinnitus. El equilibrio puede verse afectada a veces.",
Evaluación,Verificación con otoscopio.,
Administración,"Por cera dura resistente a la oreja de mecha disolver bicarbonato de sodio 1/4 cucharadita en 10 ml de agua e irrigar el oído.

Una alternativa es unas pocas gotas de ácido acético para ablandar la cera antes de la irrigación.

Los cuerpos extraños se pueden eliminar con pinzas, o el riego con agua limpia y una jeringa de 50 ml.

Para el cerumen impactado: docusato de sodio dos veces al día también es un tratamiento fácil y eficaz, especialmente si usted quiere tener otra mirada en los oídos de un paciente para su seguimiento, esto a menudo se libera toda la cera a cabo en unos pocos días.",
Complicaciones,"Las complicaciones pueden ser variable; tales como infección, perforación de la membrana timpánica.",
,,
$Ojos,,
10.1 De Cataratas,,
Presentación,"Esto depende del tamaño y la localización de la opacidad pero las características típicas incluyen:

- la pérdida gradual de la visión indolora.
- Dificultades en leer.
- La incapacidad de reconocer caras.
- La diplopía en un ojo.
- Los halos.

[1]",
Causas,"Opacidad de la lente con la pérdida progresiva de la agudeza visual.

<b> Factores de Riesgo </b>
-Exposición solar.
-Diabetes.
-Edad avanzada.
-Congénito.
-De fumar,
-Steroids.

[2]

",
Diagnóstico,"Realizar Oftalmoscopia bilateralmente en busca de la pérdida del reflejo rojo, la opacidad del cristalino y cualquier patología retiniana visibles adicional.

La agudeza visual y la agudeza visual corregida deben registrarse para cada ojo.

Preguntar acerca de las AVD y el impacto de la pérdida de la visión es tener sobre los pacientes la calidad de vida.

Pantalla para la diabetes, ya que es un factor de riesgo.

[3]",
Administración,"La extirpación quirúrgica es el único tratamiento.

Proporcionar asesoramiento para usar sombrero y vidrio de sol para prevenir la progresión / desarrollo en el otro ojo.

Asegurar que la documentación es buena - diagnóstico, codificación y seguimiento escrito con claridad, añadir a la lista la oftalmología, la agudeza visual documentado.

Trate de obtener un número de contacto para el paciente, tendremos la posibilidad de añadir a la lista de pacientes cirugía de cataratas en Changuinola cada 2-3 meses.

Los casos que tienen mala visión bilateral serán priorizados.

[2,3]",
Referencias,"[1] cataratas y cirugía de cataratas. Extracción de información de cataratas. Disponible en: https://patient.info/doctor/cataracts-and-cataract-surgery. (Consultado: 24ta de octubre de 2017).
[2] cataratas y cirugía de cataratas. Extracción de información de cataratas. Disponible en: https://patient.info/doctor/cataracts-and-cataract-surgery. (Consultado: 24ta de octubre de 2017).
[3] Las cataratas y cirugía de cataratas. Extracción de información de cataratas. Disponible en: https://patient.info/doctor/cataracts-and-cataract-surgery. (Consultado: 24ta de octubre de 2017).",
10.2 Pterigión,,
Presentación,"Un blanco, el crecimiento triangular de tejido fibro-vascular que se extiende desde la conjuntiva a la córnea.

Los factores de riesgo para el desarrollo incluyen el trabajo con el polvo, el viento y la exposición al sol.

Los pacientes pueden presentar enrojecimiento del ojo.",
Causas,"Las lesiones pueden ser hereditaria, pero también pueden estar asociados con:
-Exposición solar.
-Dry ambiente.
-Polvo.
-Viento.
-Fumar.
-Dom.",
Evaluación,"La inspección de la superficie del ojo es suficiente para hacer el diagnóstico.

Siempre compruebe si hay concurrente de cataratas, particularmente si la visión se ve afectada.",
Administración,"El paciente debe ser educado acerca de las causas de pterigión y aconseja permanecer fuera de los ambientes secos y polvorientos tanto como sea posible.

Gafas de sol y lubricantes gotas para los ojos se pueden dar para tratar de limitar la progresión del pterigión.

Si el pterigión es agresivo o de rápido crecimiento, o si se extiende hacia la pupila, el paciente debe ser remitido a la oftalmología para el potencial de la escisión quirúrgica.

Garantizar una documentación clara de diagnóstico, estadificación y la codificación.

Por favor, hable con el LMP en relación con el seguimiento de los planes para cualquier paciente.

cae <i> Tome en consideración los ojos con esteroides si se presenta con inflamación claramente relacionado con pterigión. </ i>",
